pauthor,ptitle,pyear,pid,pkey,journal,journalfull,booktitle,booktitlefull,journal_abbreviation,ptype
rui wang 0007|vincent k. n. lau,combined cross layer design and harq for tdd multiuser systems with outdated csit.,2007,831323,conf/globecom/Rui07,,,globecom,conference on current trends in theory and practice of informatics,,inproceedings
le jin|kumar l. parthasarathy|turker kuyel|degang chen|randall l. geiger,linearity testing of precision analog-to-digital converters using stationary nonlinear inputs.,2003,533319,conf/itc/JinPKCG03,,,itc,iberian conference on pattern recognition and image analysis,,inproceedings
massimo baleani|massimo conti|alberto ferrari|valerio frascolla|alberto l. sangiovanni-vincentelli,an enhanced polis framework for fast exploration and implementation of i/o subsystems on csoc platforms.,2002,250787,conf/fpl/BaleaniCFFS02,,,fpl,intelligent virtual agents,,inproceedings
benfano soewito|ning weng,methodology for evaluating string matching algorithms on multiprocessor.,2008,37611,conf/aiccsa/SoewitoW08,,,aiccsa,distributed event based systems,,phdthesis
salvador alcaraz|katja gilly|carlos juiz|ramón puigjaner,a token bucket model with assured forwarding for web traffic.,2007,825706,conf/nbis/AlcarazGJP07,,,nbis,protocol specification,,phdthesis
muhammad arif|tadashi ishihara|hikaru inooka,generalization of iterative learning control for multiple desired trajectories in robotic systems.,2002,645726,conf/pricai/ArifII02,,,pricai,defect and fault tolerance in vlsi systems,,inproceedings
elizabeth m. wenzel,perceptual vs. hardware performance in advanced acoustic interface design.,1993,106053,conf/chi/Wenzel93,,,,,,inproceedings
andrea gozzi|massimo paolucci 0002|antonio boccalatte,autonomous agents applied to manufacturing scheduling problems: a negotiation-based heuristic approach.,2001,573743,conf/masa/GozziPB01,,,,,,inproceedings
leyi shi|chunfu jia|shuwang lü|zhenhua liu,port and address hopping for active cyber-defense.,2007,819141,conf/paisi/ShiJLL07,,,paisi,emerging technologies and factory automation,,inproceedings
martina zitterbart|stefan fischer,basissoftware für selbstorganisierende infrastrukturen für vernetzte mobile systeme.,2003,271033,conf/gi/ZitterbartF03,,,gi jahrestagung (2),international workshop on quality of service,,incollection
jianer chen|yang liu 0002|songjian lu,an improved parameterized algorithm for the minimum node multiway cut problem.,2007,762297,conf/wads/ChenLL07,,,wads,case based reasoning and development,,inproceedings
jinghao fei|jie yang|jianping fan 0002,towards virtually cooking chinese food.,2009,390592,conf/icmcs/FeiYF09,,,storage and retrieval for media databases,internet,,inproceedings
pramote kuacharoen|vincent john mooney|vijay k. madisetti,software streaming via block streaming.,2003,167348,conf/date/KuacharoenMM03,,,date,autonomous agents and multi agent systems,,inproceedings
aurelie martin|jean-jacques fuchs|christine guillemot|dominique thoreau,atomic decomposition dedicated to avc and spatial svc prediction.,2008,380498,conf/icip/MartinFGT08,,,icip,cluster computing,,inproceedings
carles curutchet|albert salichs|xavier barril|modesto orozco|francisco javier luque,transferability of fragmental contributions to the octanol/water partition coefficient: an nddo-based mst study.,2003,2090984,journals/jcc/CurutchetSBOL03,journal of computational chemistry,kunstliche intelligenz,,,,article
mark d. apperley|sam jansen|amos jeffries|masood masoodian|laurie mcleod|lance paine|bill rogers|kirsten thomson|tony voyle,lecture capture using large interactive display systems.,2002,337202,conf/icce/ApperleyJJMMPRTV02,,,icce,international symposium on high performance computing systems,,inproceedings
guang yang|yongdi zhang|yanfang yue|rui-gang zhang,analysis hierarchy set pair model on material selection.,2009,890875,conf/dbta/YangZYZ09,,,dbta,international conference on evolutionary computation,,inproceedings
haifeng chen|guofei jiang|hui zhang 0002|kenji yoshihira,boosting the performance of computing systems through adaptive configuration tuning.,2009,666739,conf/sac/ChenJZY09,,,sac,cognition,,inproceedings
bor-ren lin|chun-hao huang|zheng-zhang yang,three-phase power factor corrector based on capacitor-clamped topology.,2005,505202,conf/iscas/LinHY05,,,miccai (2),symposium on theoretical aspects of computer science,,inproceedings
steven w. su|jie bao 0002|peter l. lee,analysis of decentralized integral controllability for nonlinear systems.,2004,2389119,journals/cce/SuBL04,computers & chemical engineering,journal of computer applications in technology,,,,article
vicky nassis|rajugan rajagopalapillai|tharam s. dillon|j. wenny rahayu,conceptual and systematic design approach for xml document warehouses.,2005,2386720,journals/jdwm/NassisRDR05,,,,,,article
qinruo wang|jiuying deng|hui zhang|baoyu yue,an optimal algorithm of a system with dead time based on chaos and clone.,2010,398929,conf/icnc/WangDZY10,,,icnc,annual reviews in control|annual review in automatic programming,,inproceedings
manuel loaiza|alberto raposo|marcelo gattass,a novel optical tracking algorithm for point-based projective invariant marker patterns.,2007,530073,conf/isvc/LoaizaRG07,,,,,,inproceedings
karthik muralidhar|kwok hung li|sapna george,delay coefficients based variable regularization subband affine projection algorithms in acoustic echo cancellation applications.,2009,2015099,journals/ieicet/MuralidharLG09,ieice transactions,international journal of algebra and computation (ijac),,,,article
adi botea|martin müller 0003|jonathan schaeffer,learning partial-order macros from solutions.,2005,43975,conf/aips/Botea0S05,,,,,,inproceedings
jiang liu 0002|guohua wu,degrees with almost universal cupping property.,2010,111474,conf/cie/LiuW10,,,,,,inproceedings
madhuri r. marri|tao xie|nikolai tillmann|jonathan de halleux|wolfram schulte,an empirical study of testing file-system-dependent software with mock objects.,2009,429668,conf/icse/MarriXTHS09,,,,,,inproceedings
ning zhang 0003|song zhang|lei wang|jie yang|zhuoqun xu,offer group generation and delayed processing in multi-issue negotiation.,2004,766741,conf/webi/ZhangZWYX04,,,,,,inproceedings
akira fujimaki|masamitsu tanaka|takahiro yamada|yuki yamanashi|heejoung park|nobuyuki yoshikawa,bit-serial single flux quantum microprocessor core.,2008,2013456,journals/ieicet/FujimakiTYYPY08,ieice transactions,international journal of algebra and computation (ijac),,,,article
shaolei feng 0002|hanqing lu|dalong li,mosaic representations of video shots based on slice image analysis.,2000,845158,conf/mva/0002LL00,,,,,,incollection
omer shahid ahmad|faisal alrashdi|jason jun-duo chen|najah ilham|jianhai lu|yiwei sun|tong wang 0002|yongxin zhu 0002,"software design document, testing, deployment and configuration management of the uuis--a team 2 comp5541-w10 project approach",2010,1925446,journals/corr/abs-1005-0665,corr,international journal of wireless information networks,,,,article
peter grünwald|steven de rooij,asymptotic log-loss of prequential maximum likelihood codes.,2005,128495,conf/colt/GrunwaldR05,,,colt,australasian database conference,,inproceedings
david bawden|j. trevor catlow|trevor k. devon|judith m. dalton|michael f. lynch|peter willett 0002,evaluation and implementation of topological codes for online compound search and registration.,1981,2094125,journals/jcisd/BawdenCDDLW81,journal of chemical information and computer sciences,acm transactions on applied perception (tap),,,,incollection
chang-tzu lin|de-sheng chen|yiwen wang 0003,robust fixed-outline floorplanning through evolutionary search.,2004,61252,conf/aspdac/LinCW04,,,asp dac,artificial intelligence and interactive digital entertainment conference,,inproceedings
esko kurvinen|andy aftelak|annakaisa häyrynen,user-centered design in the context of large and distributed projects.,2006,104358,conf/chi/KurvinenAH06,,,chi extended abstracts,eye tracking research & application,,inproceedings
juryon paik|ung-mo kim,a simple yet efficient approach for maximal frequent subtrees extraction from a collection of xml documents.,2006,776826,conf/wise/PaikK06,,,wise workshops,ada europe,,inproceedings
davood rafiei|alberto o. mendelzon,efficient retrieval of similar time sequences using dft,1998,1906391,journals/corr/cs-DB-9809033,corr,international journal of wireless information networks,,,,article
zhenxing wang|laiwan chan,an efficient causal discovery algorithm for linear models.,2010,556109,conf/kdd/WangC10,,,kdd,text,,inproceedings
guang cheng 0002|baba c. vemuri|paul r. carney|thomas h. mareci,non-rigid registration of high angular resolution diffusion images represented by gaussian mixture fields.,2009,584776,conf/miccai/ChengVCM09,,,,,,inproceedings
kerstin boschian|anette larsson|roy davies|ulf minör|gerd johansson,how can people with disabilities navigate in virtual reality with an input device they can use?,1999,280902,conf/hci/BoschianLDMJ99,,,,,,inproceedings
matthias richter 0002|stephan frei|c. lippert,emv-prozesse und tools für eine baureihen-übergreifende elektronikentwicklung.,2005,275531,conf/gmmemv/RichterFL05,,,gmm emv,usenix large installation systems administration conference,,article
felipe rech meneguzzi|leonardo luceiro meirelles|fernando tarlá martins mano|joão batista s. de oliveira|ana cristina benso da silva,strategies for document optimization in digital publishing.,2004,187695,conf/doceng/MeneguzziMMOS04,,,acm symposium on document engineering,statistics and computing,,inproceedings
roberto sacile|massimo paolucci 0002|antonio boccalatte,the make-it project: manufacturing agents in a knowledge-based environment driven by internet technologies.,2000,45495,conf/aiworc/SacilePB00,,,aiworc,international conference on software maintenance,,inproceedings
wei peng|baokang zhao|wanrong yu|chunqing wu|xiaorong yan,ferry route design with delay bounds in delay-tolerant networks.,2010,10892,conf/IEEEcit/PengZYWY10,,,cit,international conference on information visualisation,,inproceedings
wei weng|shigeru fujimura,distributed feedback mechanism for just-in-time scheduling problem.,2009,5186,conf/ACISicis/WengF09,,,acis icis,european symposium on programming,,inproceedings
zhonghai lu|mikael millberg|axel jantsch|alistair c. bruce|pieter van der wolf|tomas henriksson,flow regulation for on-chip communication.,2009,169410,conf/date/LuMJBWH09,,,date,lernen,,inproceedings
heinz h. bauschke|patrick l. combettes|d. russell luke,finding best approximation pairs relative to two closed convex sets in hilbert spaces.,2004,2085305,journals/jat/BauschkeCL04,journal of approximation theory,international journal of pattern recognition and artificial intelligence (ijprai),ijcnn,real time computing systems and applications,,inproceedings
stefan schiffner|sebastian clauß,using linkability information to attack mix-based anonymity services.,2009,632549,conf/pet/SchiffnerC09,,,,,,inproceedings
rong she|fei chen 0002|ke wang|martin ester|jennifer l. gardy|fiona s. l. brinkman,frequent-subsequence-based prediction of outer membrane proteins.,2003,555186,conf/kdd/SheCWEGB03,,,,,,inproceedings
a. ramírez|c. sriskandarajah|beno benhabib,control of flexible-manufacturing workcells using extended moore automata.,1999,418004,conf/icra/RamirezSB99,,,iwann,signal and image processing,,inproceedings
gabriel kronberger|stephan m. winkler|michael affenzeller|stefan wagner 0002,on crossover success rate in genetic programming with offspring selection.,2009,227648,conf/eurogp/KronbergerWAW09,,,,,,phdthesis
clément fredembach|michael schröder 0003|sabine süsstrunk,region-based image classification for automatic color correction.,2003,467203,conf/imaging/FredembachSS03,,,,,,inproceedings
albert t. corbett|megan mclaughlin|k. christine scarpinatto|william s. hadley,analyzing and generating mathematical models: an algebra ii cognitive tutor design study.,2000,537884,conf/its/CorbettMSH00,,,intelligent tutoring systems,international symposium on low power electronics and design,,inproceedings
mark r. cutkosky|robert s. engelmore|richard fikes|michael r. genesereth|thomas r. gruber|william s. mark|jay m. tenenbaum|jay c. weber,pact: an experiment in integrating concurrent engineering systems.,1993,1893342,journals/computer/CutkoskyEFGGMTW93,,,,,,article
imrich chlamtac|andrea fumagalli|eric wing ming wong,transmitter vs. receiver sdl solutions for contention resolution in wdm ring networks.,2000,2413620,journals/ett/ChlamtacFW00,,,,,,incollection
cemal basaran|michael sellers|david kofke|andrew schultz,strain energy change due to an atomic defect in solder alloy lattice.,2007,851726,conf/scsc/BasaranSKS07,,,scsc,symposium on discrete algorithms,,phdthesis
francisco luna|césar estébanez|coromoto león|josé m. chaves-gonzález|enrique alba|ricardo aler|carlos segura|miguel a. vega-rodríguez|antonio j. nebro|josé maría valls|gara miranda|juan antonio gómez pulido,metaheuristics for solving a real-world frequency assignment problem in gsm networks.,2008,266128,conf/gecco/LunaELCAASVNVMP08,,,gecco,computational learning theory,,article
antonia kyriakopoulou|theodore kalamboukis,using clustering to enhance text classification.,2007,698801,conf/sigir/KyriakopoulouK07,,,sigir,requirements engineering,,inproceedings
thomas ohler|peter widmayer,a brief tutorial introduction to data structures for geometric databases.,1993,115644,conf/cism/OhlerW93,,,cism   advances in database systems,conference on advanced information systems engineering,,inproceedings
sébastien fournier|alain ferrarini|erwan tranvouez,a multiagent decision support system for scheduling repair - application to socio-technical organizations.,2010,811185,conf/rcis/FournierFT10,,,,,,inproceedings
anna carpenter cavender|jeffrey p. bigham|richard e. ladner,classinfocus: enabling improved visual attention strategies for deaf and hard of hearing students.,2009,63363,conf/assets/CavenderBL09,,,,,,inproceedings
sandra zilles|steffen lange|robert holte|martin zinkevich,teaching dimensions based on cooperative learning.,2008,128937,conf/colt/HolteLZZ08,,,aaai,conference on object oriented programming systems,,phdthesis
anding wang|yuyang qiu|lili lin|shiju li,an adaptive sub-carrier and power allocation algorithm with qos guarantee for ofdma system.,2008,297444,conf/hpcc/WangQLL08,,,hpcc,international conference on computer communications and networks,,inproceedings
e. h. wong|s. k. w. seah|w. d. van driel|j. f. j. m. caers|n. owens|y.-s. lai,advances in the drop-impact reliability of solder joints for mobile applications.,2009,2318072,journals/mr/WongSDCOL09,microelectronics reliability,journal of digital content technology and its applications,,,,inproceedings
leyza baldo dorini|siome klein goldenstein,unscented klt: nonlinear feature and uncertainty tracking.,2006,688636,conf/sibgrapi/DoriniG06,,,sibgrapi,ifip conference on human computer interaction,,phdthesis
nelson s. rosa|george r. ribeiro-justo|p. r. f. cunha,a framework for building non-functional software architectures.,2001,664972,conf/sac/RosaJC01,,,sac,cognition,,inproceedings
janis barzdin|janis bicevskis|audris kalnins,automatic construction of complete sample system for program testing.,1977,443507,conf/ifip/BarzdinBK77,,,mddaui,international conference on mobile business,,inproceedings
ashish goel|cyrus shahabi|shu-yuen didi yao|roger zimmermann,scaddar: an efficient randomized technique to reorganize continuous media blocks.,2002,351091,conf/icde/GoelSYZ02,,,icde,enterprise distributed object computing conference,,inproceedings
muhammad mahbub alam|md. abdul hamid|md. abdur razzaque|choong seon hong,fair scheduling and throughput maximization for ieee 802.16 mesh mode broadband wireless access networks.,2010,2016773,journals/ieicet/AlamHRH10,ieice transactions,international journal of algebra and computation (ijac),,,,article
shuyan chen|wei wang,decision tree learning for freeway automatic incident detection.,2009,1980925,journals/eswa/ChenW09d,expert syst. appl.,the journal of information processing systems,,,,article
ève coste-manière|nicolas turro|oussama khatib,a portable programming framework.,1999,510152,conf/iser/Coste-ManiereTK99,,,iser,algebraic and logic programming,,inproceedings
kobi inkumsah|tao xie,improving structural testing of object-oriented programs via integrating evolutionary testing and symbolic execution.,2008,553793,conf/kbse/InkumsahX08,,,ase,the vldb journal,,phdthesis
zhipeng cai|lizhe xu|yi shi|mohammad r. salavatipour|randy goebel|guohui lin,using gene clustering to identify discriminatory genes with higher classification accuracy.,2006,74658,conf/bibe/CaiXSSGL06,,,bibe,cluster computing,,phdthesis
duangduen roongpiboonsopit|hassan a. karimi,comparative evaluation and analysis of online geocoding services.,2010,1996290,journals/gis/RoongpiboonsopitK10,,,,,,incollection
paul e. kearney|ryan hayward|henk meijer,evolutionary trees and ordinal assertions.,1999,1823855,journals/algorithmica/KearneyHM99,,,,,,article
w. q. cheng|jian gong|wei ding 0001,identifying bt-like p2p traffic by the discreteness of remote hosts.,2007,565911,conf/lcn/ChengGD07,,,lcn,personal wireless communications,,inproceedings
bin liu 0002|h. v. jagadish,datalens: making a good first impression.,2009,703563,conf/sigmod/LiuJ09,,,sigmod conference,architektur von rechensystemen,,inproceedings
harish doraiswamy|aneesh sood|vijay natarajan,constructing reeb graphs using cylinder maps.,2010,131373,conf/compgeom/DoraiswamySN10,,,symposium on computational geometry,interactive distributed multimedia systems and telecommunication services,,inproceedings
olatunji ruwase|phillip b. gibbons|todd c. mowry|vijaya ramachandran|shimin chen|michael kozuch|michael p. ryan,parallelizing dynamic information flow tracking.,2008,720885,conf/spaa/RuwaseGMRCKR08,,,spaa,formal modeling and analysis of timed systems,,inproceedings
julia v. ponomarenko|huynh-hoa bui|wei li|nicholas fusseder|philip e. bourne|alessandro sette|björn peters,ellipro: a new structure-based tool for the prediction of antibody epitopes.,2008,1849003,journals/bmcbi/PonomarenkoBLFBSP08,bmc bioinformatics,international journal of intelligent information and database systems (ijiids),,,,article
kiyoko f. aoki|hiroshi mamitsuka|tatsuya akutsu|minoru kanehisa,a score matrix to reveal the hidden links in glycans.,2005,1840382,journals/bioinformatics/AokiMAK05,bioinformatics,international journal of cognitive informatics and natural intelligence (ijcini),,,,inproceedings
daniel l. weller|bryant w. york,a relational representation of an abstract type system.,1984,2284841,journals/tse/WellerY84,ieee trans. software eng.,journal of the american society for information science and technology (jasist),,,,article
shuangcheng deng|lipei jiang|yingyu cao|ping liang|ren he|tong lu|yang wang,a needle-holding robot for ultrasound guided percutaneous hepatic microwave ablation and initial experiments.,2008,857961,conf/icira/DengJCLRLW08,,,icira (2),modeling,,inproceedings
yang wang|bogdan georgescu|helene houle|dorin comaniciu,volumetric myocardial mechanics from 3d+t ultrasound data with multi-model tracking.,2010,585006,conf/miccai/WangGHC10,,,,,,inproceedings
hassan alam|rachmat hartono|aman kumar|ahmad fuad rezaur rahman|yuliya tarnikova|che wilcox,web page summarization for handheld devices: a natural language approach.,2003,344934,conf/icdar/AlamHKRTW03,,,icdar,processing declarative knowledge,,inproceedings
imari sato|takahiro okabe|yoichi sato|katsushi ikeuchi,appearance sampling for obtaining a set of basis images for variable illumination.,2003,344135,conf/iccv/SatoOSI03,,,iccv,virtual reality software and technology,,phdthesis
ziad saad|richard reynolds|robert j. cox|brenna argall|shruti japee,suma: an interface for surface-based intra- and inter-subject analysis with afni.,2004,490839,conf/isbi/SaadRCAJ04,,,,,,inproceedings
vinhthuy phan,motif tool manager: a web-based platform for motif discovery.,2009,1850311,journals/bmcbi/Phan09,bmc bioinformatics,international journal of intelligent information and database systems (ijiids),,,,inproceedings
cheng-min lin|chyi-ren dow|chiang-ming chiu|tzu-wen ko|chun-yuan yu,power-efficient and qos-aware scheduling algorithm for various traffic loads in bluetooth scatternet.,2005,625133,conf/pdcn/LinDCKY05,,,,,,inproceedings
george fernandez|inji wijegunaratne,a cooperative approach to distributed applications engineering.,1996,59832,conf/asian/FernandezW96,,,,,,inproceedings
atsushi hiyama|ryoko ueoka|koichi hirota|michitaka hirose|michie sone|tomohiro kawamura,development and demonstration of wearable computer based interactive nomadic gallery.,2002,531787,conf/iswc/HiyamaUHHSK02,,,iswc,asian computing science conference,,incollection
adrian haith|carl p. t. jackson|r. chris miall|sethu vijayakumar,unifying the sensory and motor components of sensorimotor adaptation.,2008,607591,conf/nips/HaithJMV08,,,nips,string processing and information retrieval,,phdthesis
zhisheng li|chong wang 0002|xing xie|xufa wang|wei-ying ma,exploring lda-based document model for geographic information retrieval.,2007,117652,conf/clef/LiWXWM07,,,clef,european conference on information systems,,inproceedings
yingshu li|my t. thai|feng wang 0002|chih-wei yi|peng-jun wan|ding-zhu du,on greedy construction of connected dominating sets in wireless networks.,2005,2296900,journals/wicomm/LiTWYWD05,wireless communications and mobile computing,international journal of information technology and management (ijitm),infocom,international conference on weblogs and social media,,article
g. domenech|j. hinojosa|j. martinez|j. garrigos,empirical model generations of microwave devices exploiting linear regression models.,2005,506669,conf/iscc/DomenechHMG05,,,hicss,grid and cooperative computing,,inproceedings
juan jesús sánchez sánchez|unai fernández-plazaola|m. carmen aguayo-torres,sum of ratios of complex gaussian rvs and its application to a simple ofdm relay network.,2010,810143,conf/vtc/SanchezPA10,,,,,,inproceedings
elisabetta sbisà|domenico catalano|giorgio grillo|flavio licciulli|antonio turi|sabino liuni|graziano pesole|anna de grassi|mariano francesco caratozzolo|anna maria d'erchia|beatriz navarro|apollonia tullo|cecilia saccone|andreas gisel,"p53famtag: a database resource of human p53, p63 and p73 direct target genes combining in silico prediction and microarray data.",2007,1849527,journals/bmcbi/SbisaCGLTLPGCDNTSG07,bmc bioinformatics,international journal of intelligent information and database systems (ijiids),,,,article
patricia rodríguez-gianolli|maddalena garzetti|lei jiang|anastasios kementsietsidis|iluju kiringa|mehedi masud|renée j. miller|john mylopoulos,data sharing in the hyperion peer database system.,2005,753519,conf/vldb/Rodriguez-GianolliGJKKMMM05,,,ipmi,worldwide computing and its applications,,inproceedings
fernando jiménez|gracia sánchez|josé f. sánchez|josé m. alcaraz,fuzzy classification with multi-objective evolutionary algorithms.,2008,857409,conf/hais/JimenezSSA08,,,,,,inproceedings
jinwoo lee|keehyoung joo|seung-yeon kim|jooyoung lee,re-examination of structure optimization of off-lattice protein ab models by conformational space annealing.,2008,2093108,journals/jcc/LeeJKL08,journal of computational chemistry,kunstliche intelligenz,,,,article
p. m. hirsch|j. a. jordan jr.|l. b. lesem,computer generated optical elements: kinoform filters.,1971,444399,conf/ifip/HirschJL71,,,,,,article
boaz barak|sharon goldberg|david xiao,protocols and lower bounds for failure localization in the internet.,2008,226648,conf/eurocrypt/BarakGX08,,,eurocrypt,multimedia systems,,phdthesis
xinrong xie|denys poshyvanyk|andrian marcus,visualization of cvs repository information.,2006,764611,conf/wcre/XiePM06,,,wcre,european performance engineering workshop,,phdthesis
jeffrey a. bergamini|michael haungs,enabling p2p cooperative wms proxy caching and prefetching in an educational environment.,2007,881270,conf/agile/BergaminiH07,,,,,,inproceedings
rosanna bova|hye-young paik|boualem benatallah|liangzhao zeng|salima benbernou,task memories and task forums: a foundation for sharing service-based personal processes.,2007,431087,conf/icsoc/BovaPBZB07,,,,,,inproceedings
carlos castellanos|diane gromala|philippe pasquier,heterogenesis: collectively emergent autonomy.,2010,391053,conf/icmcs/CastellanosGP10,,,,,,inproceedings
aurélien lemay|joachim niehren|rémi gilleron,learning n-ary node selecting tree transducers from completely annotated examples.,2006,364070,conf/icgi/LemayNG06,,,icgi,workshop on persistent object systems,,inproceedings
urvashi arora|samir karaa|r. k. mohanty,a new stable variable mesh method for 1-d non-linear parabolic partial differential equations.,2006,2305085,journals/amc/AroraKM06,applied mathematics and computation,international journal on document analysis and recognition (ijdar),,,,article
andrea lodi 0002|roberto giansante|carlo chiesa|luca ciccarelli|fabio campi|mario toma,compact buffered routing architecture.,2004,251291,conf/fpl/LodiGCCCT04,,,fpl,intelligent virtual agents,,inproceedings
lianshan sun|gang huang|yanchun sun|hui song|hong mei,an approach for generation of j2ee access control configurations from requirements specification.,2008,652708,conf/qsic/SunHSSM08,,,qsic,algorithmic applications in management,,inproceedings
kwong ho chan|jie bao 0002|william j. whiten,a new approach to control of mimo processes with static nonlinearities using an extended imc framework.,2005,2389053,journals/cce/ChanBW05,,,,,,inproceedings
pablo lamata|enrique j. gómez|francisco m. sánchez-margallo|oscar lópez|carlos monserrat|verónica garcía-pérez|carlos alberola|miguel ángel rodríguez florido|juan ruiz|jesús usón,sinergia laparoscopic virtual reality simulator: didactic design and technical development.,2007,2332812,journals/cmpb/LamataGSLMGAFRU07,computer methods and programs in biomedicine,4or: quarterly journal of the belgian,,,,inproceedings
wei li 0006|hilmar jaschek|dieter wloka,modifizierung des roberts' algorithmus zur graphischen darstellung von robotern.,1990,2194886,journals/robotersysteme/LiJW90,robotersysteme,acm transactions on autonomous and adaptive systems (taas),,,,incollection
mar arenas parra|amelia bilbao-terol|blanca pérez-gladish|maria victoria rodríguez uría,solving a multiobjective possibilistic problem through compromise programming.,2005,2327351,journals/eor/ParraTPU05,european journal of operational research,journal of communications,,,,article
tao xie 0003|chaofeng sha|xiaoling wang|aoying zhou,approximate top-k structural similarity search over xml documents.,2006,56535,conf/apweb/XieSWZ06,,,gca,formal techniques for networked and distributed systems,,inproceedings
ilya desyatnikov|ron meir,data-dependent bounds for multi-category classification based on convex losses.,2003,128334,conf/colt/DesyatnikovM03,,,colt,australasian database conference,,inproceedings
boon-chong seet|bu-sung lee|chiew tong lau,study of a unicast query mechanism for dynamic source routing in mobile ad hoc networks.,2001,396571,conf/icn/SeetLL01,,,,,,phdthesis
stefan müller|gerhard rigoll|denis mazurenok|daniel willett,invariante erkennung handskizzierter piktogramme mit anwendungsmöglichkeiten in der inhaltsorientierten bilddatenbankabfrage.,1998,160236,conf/dagm/MullerRMW98,,,dagm symposium,international conference on parallel and distributed systems,,inproceedings
gianluca palli|claudio melchiorri|alessandro de luca,on the feedback linearization of robots with variable joint stiffness.,2008,422865,conf/icra/PalliML08,,,icra,journal of computing and information technology,,phdthesis
denis laurendeau|nathalie bertrand 0002|régis houde,the mapping of texture on vr polygonal models.,1999,4042,conf/3dim/LaurendeauBH99,,,fossacs,mining software repositories,,inproceedings
ruipeng li|hai jiang|hung-chi su|bin zhang|jeff jenness,speculative and distributed simulation of many-particle collision systems.,2007,404019,conf/icpads/LiJSZJ07,,,icpads,pacific asia conference on knowledge discovery and data mining,,inproceedings
johann schumann|bernd fischer 0002,nora/hammr: making deduction-based software component retrieval practical.,1997,553494,conf/kbse/SchumannF97,,,ase,summer computer simulation conference,,inproceedings
zhi-gang wang|neng xu|mugur acu,certain subclasses of multivalent analytic functions defined by multiplier transforms.,2010,2310858,journals/amc/WangXA10,,,,,,article
joel d. martin|robert holte,searching for content-based addresses on the world-wide web.,1998,185134,conf/dl/MartinH98,,,acm dl,latin american theoretical informatics,,inproceedings
brian j. ross,the inductive inference of cyclic synchronized interleaving.,1994,194882,conf/ecai/Ross94,,,gecco,parallel architectures and languages europe,,inproceedings
tong boon tang|alan f. murray,adaptive sensor modelling and classification using a continuous restricted boltzmann machine (crbm).,2006,219524,conf/esann/TangM06,,,esann,artificial neural networks in pattern recognition,,inproceedings
jan smans|bart jacobs 0002|frank piessens|wolfram schulte,an automatic verifier for java-like programs based on dynamic frames.,2008,236505,conf/fase/SmansJPS08,,,,,,phdthesis
nicolas ducros|anabela da silva|jean-marc dinten|chandra sekhar seelamantula|michael unser|françoise peyrin,time resolved fluorescence diffuse optical tomography using multi-resolution exponential b-splines.,2009,492408,conf/isbi/DucrosSDSUP09,,,isbi,international conference on computer design,,inproceedings
ananda s. chowdhury|suchendra m. bhandarkar|ernest w. tollner|g. zhang|jack c. yu|e. w. ritter,a novel multifaceted virtual craniofacial surgery scheme using computer vision.,2005,150020,conf/cvbia/ChowdhuryBTZYR05,,,,,,inproceedings
sutirtha chatterjee|suranjan chakraborty|saonee sarker|suprateek sarker|francis y. lau,examining the success factors for mobile work in healthcare: a deductive study.,2009,1961236,journals/dss/ChatterjeeCSSL09,,,,,,article
mohit gupta|kwangok jeong|andrew b. kahng,timing yield-aware color reassignment and detailed placement perturbation for double patterning lithography.,2009,333317,conf/iccad/GuptaJK09,,,iccad,agile development conference,,inproceedings
joshua robinson|mustafa uysal|ram swaminathan|edward w. knightly,adding capacity points to a wireless mesh network using local search.,2008,475010,conf/infocom/RobinsonUSK08,,,,,,inproceedings
minoru ito|kenichi taniguchi|tadao kasami,membership problem for embedded multivalued dependencies under some restricted conditions.,1983,2241629,journals/tcs/ItoTK83,theor. comput. sci.,acm transactions on computation theory (toct),,,,article
kuen-liang sue|chi-chun lo,diminishing capacity requirement for mobility database in wireless atm.,2004,2100021,journals/jcsc/SueL04,,,,,,article
md. saiful islam 0002|satya prasad majumder,performance of lincoded optical heterodyne cpfsk transmission system affected by polarization mode dispersion in a single mode fiber.,2007,830550,conf/globecom/0002M07,,,,,,inproceedings
suresh thummalapenta|tao xie,alattin: mining alternative patterns for detecting neglected conditions.,2009,553879,conf/kbse/ThummalapentaX09,,,ase,the vldb journal,,phdthesis
bramha allu|wei zhang 0002,static next sub-bank prediction for drowsy instruction cache.,2004,91033,conf/cases/AlluZ04,,,cases,geographic information retrieval,,inproceedings
i-hong kuo|shi-jinn horng|tzong-wann kao|tsung-lieh lin|pingzhi fan,an efficient flow-shop scheduling algorithm based on a hybrid particle swarm optimization model.,2007,442998,conf/ieaaie/KuoHKLF07,,,iea/aie,the european symposium on artificial neural networks,,inproceedings
ludovic journaux|marie-france destain|johel mitéran|alexis piron|frederic cointault,texture classification with generalized fourier descriptors in dimensionality reduction context: an overview exploration.,2008,793726,conf/annpr/JournauxDMPC08,,,,,,inproceedings
lap-kei lee|h. f. ting,maintaining significant stream statistics over sliding windows.,2006,716648,conf/soda/LeeT06,,,,,,article
ana maria marques da silva|sílvia d. olabarriaga|carlos augusto dietrich|carlos andré aita schmitz,on determining a signature for skeletal maturity.,2001,688519,conf/sibgrapi/SilvaODS01,,,eccv workshops cvamia and mmbia,british machine vision conference,,inproceedings
